split,image_id,file_name,width,height,scene,weather,video_id,has_person,person_count
train,76,data/video-GzdKTLbkG5F7gAunM-frame-005723-9cxuMMhsyxHk5yjhB.jpg,640,512,residential,unknown,GzdKTLbkG5F7gAunM,False,0
train,80,data/video-JFiGa9oAAN2queuLt-frame-000000-DKaTAE9EERAu4rico.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,6
train,81,data/video-JFiGa9oAAN2queuLt-frame-000010-JhfT22Rfs8AAwakCe.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,5
train,82,data/video-JFiGa9oAAN2queuLt-frame-000020-daeFNRmopdwNAwJzf.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,12
train,83,data/video-JFiGa9oAAN2queuLt-frame-000030-6Lc56xA3DfcgGLXRh.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,13
train,84,data/video-JFiGa9oAAN2queuLt-frame-000040-Tn4qjAMXibcvSESZK.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,13
train,85,data/video-JFiGa9oAAN2queuLt-frame-000050-xY7z57Mhg5WEMaPNF.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,14
train,86,data/video-JFiGa9oAAN2queuLt-frame-000060-n8MhGZ5cBYP5gzdmo.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,11
train,87,data/video-JFiGa9oAAN2queuLt-frame-000070-hRybz4ceAEutzYrFc.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,21
train,88,data/video-JFiGa9oAAN2queuLt-frame-000080-xtgZgXzo4XWkrEWdH.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,23
train,89,data/video-JFiGa9oAAN2queuLt-frame-000090-Arktfw8NEE2XNBgKa.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,26
train,90,data/video-JFiGa9oAAN2queuLt-frame-000100-AAviJyxnyyKDDfLfB.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,23
train,91,data/video-JFiGa9oAAN2queuLt-frame-000110-owCfrrdtM7L7for7H.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,25
train,92,data/video-JFiGa9oAAN2queuLt-frame-000120-DNX7wo3HmuSfwuA78.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,5
train,93,data/video-JFiGa9oAAN2queuLt-frame-000130-HNgkYapovuKg4bNEf.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,11
train,94,data/video-JFiGa9oAAN2queuLt-frame-000140-67CghmyMnzy6q4YLw.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,13
train,95,data/video-JFiGa9oAAN2queuLt-frame-000150-B3cB7pYhv58R2mcZE.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,13
train,96,data/video-JFiGa9oAAN2queuLt-frame-000160-bprseCBuTxpjQKz5z.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,14
train,97,data/video-JFiGa9oAAN2queuLt-frame-000170-KbtXwNi5F5GZyfEEP.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,13
train,98,data/video-JFiGa9oAAN2queuLt-frame-000180-dKY6dLBKXoBnaGYfr.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,18
train,99,data/video-JFiGa9oAAN2queuLt-frame-000190-Ef4CSqyfRbYsjePiE.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,16
train,100,data/video-JFiGa9oAAN2queuLt-frame-000200-NZHo6ZK9SYq4yNTib.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,17
train,101,data/video-JFiGa9oAAN2queuLt-frame-000210-3h3uGWJWcRDNoahfZ.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,16
train,102,data/video-JFiGa9oAAN2queuLt-frame-000220-i8DtHKPd8g7pAsPTG.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,14
train,103,data/video-JFiGa9oAAN2queuLt-frame-000230-JKsZC4GP9xssXmCZu.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,8
train,104,data/video-JFiGa9oAAN2queuLt-frame-000240-CbAdBRzhGAN5cT9K8.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,12
train,106,data/video-JFiGa9oAAN2queuLt-frame-000260-Rwd5baw4bXGJBWHec.jpg,640,512,city_street,unknown,JFiGa9oAAN2queuLt,True,13
